Id,Density,Length,Width,Heigth,x,y,z,coef_fr,angle
14,,25.5,23,31,0,0,0,,12
2,,20,19.5,27,25.5,0,0,,
15,,20.5,20.5,36.5,25.5,19.5,0,,
10,,26,19.5,24.5,25.5,40,0,,
13,,22,22,15.5,45.5,0,0,,
8,,13,36,24.5,51.5,22,0,,
13,,11.5,40,10.5,14,23,0,,
9,,8.5,30.5,22.5,4.5,23,0,,
5,,17.5,14.5,22.5,25.5,40,24.5,,
16,,15.5,15.5,15.5,25.5,25,36.5,,
12,,10.5,15.5,20.5,45.5,6,15.5,,
11,,15.5,23,15.5,49.5,22.5,24.5,,
1,,10.5,13.5,15.5,35.5,6.5,27,,
7,,13,14,16,58,8,16,,
4,,6,21,17.5,19.5,23,10.5,,
6,,9.5,19.5,16.5,25.5,0,27,,
