Id,Density,Length,Width,Heigth,x,y,z,coef_fr,angle
8,,36,24.5,13,0,0,0,,11
15,,20.5,36.5,20.5,0,24.5,0,,
14,,31,23,25.5,20.5,24.5,0,,
3,,10.5,11.5,40,36,13,0,,
9,,30.5,8.5,22.5,36,2.5,0,,
2,,19.5,27,20,51.5,11,0,,
13,,15.5,22,22,51.5,38,0,,
10,,26,19.5,24.5,20.5,47.5,0,,
11,,23,15.5,15.5,20.5,24.5,25.5,,
16,,15.5,15.5,15.5,20.5,9,13,,
5,,17.5,22.5,14.5,3,2,13,,
12,,20.5,15.5,10.5,20.5,47.5,0,,
6,,9.5,16.5,19.5,51.5,11,20,,
4,,17.5,21,6,3,24.5,20.5,,
1,,13.5,15.5,10.5,51.5,38,22,,
7,,16,13,14,4.5,43.5,20.5,,
