Id,Density,Length,Width,Heigth,x,y,z,coef_fr,angle
4,,17.5,21,6,0,0,0,,
12,,15.5,20.5,10.5,17.5,0,0,,
2,,20,19.5,27,33,0,0,,
14,,25.5,23,31,17.5,20.5,0,,
15,,36.5,20.5,20.5,17.5,43.5,0,,
8,,13,24.5,36,53,19.5,0,,
10,,24.5,19.5,26,33,0,27,,
9,,30.5,22.5,8.5,17.5,20.5,31,,
16,,15.5,15.5,15.5,17.5,5,10.5,,
7,,13,16,14,53,19.5,36,,
3,,40,11.5,10.5,17.5,52.5,20.5,,
11,,15.5,23,15.5,17.5,20.5,39.5,,
13,,15.5,22,22,2,21,0,,
6,,16.5,19.5,9.5,1,21,22,,
5,,14.5,17.5,22.5,18.5,2,26,,
1,,10.5,15.5,13.5,17.5,20.5,55,,
