Id,Density,Length,Width,Heigth,x,y,z,coef_fr,angle
14,,23,25.5,31,0,0,0,,10
8,,24.5,13,36,23,0,0,,
10,,19.5,24.5,26,23,13,0,,
13,,15.5,22,22,7.5,25.5,0,,
7,,13,14,16,12,10,31,,
3,,40,11.5,10.5,23,37.5,0,,
15,,20.5,20.5,36.5,42.5,13,0,,
5,,17.5,14.5,22.5,23,13,26,,
11,,15.5,15.5,23,7.5,25.5,22,,
16,,15.5,15.5,15.5,7.5,25.5,45,,
6,,16.5,19.5,9.5,42.5,13,36.5,,
2,,20,19.5,27,23,49,0,,
9,,30.5,22.5,8.5,44.5,49,0,,
12,,15.5,20.5,10.5,23,49,27,,
1,,13.5,15.5,10.5,44.5,49,8.5,,
4,,17.5,21,6,5.5,47.5,0,,
