Id,Density,Length,Width,Heigth,x,y,z,coef_fr,angle
11,,15.5,15.5,23,0,0,0,,8
1,,13.5,10.5,15.5,0,0,23,,
8,,13,24.5,36,15.5,15.5,0,,
15,,20.5,20.5,36.5,28.5,15.5,0,,
10,,24.5,19.5,26,28.5,36,0,,
3,,11.5,10.5,40,28.5,5.5,0,,
9,,8.5,22.5,30.5,15.5,15.5,36,,
16,,15.5,15.5,15.5,34,20.5,36.5,,
14,,23,31,25.5,28.5,36,26,,
2,,20,19.5,27,9,40,0,,
6,,9.5,16.5,19.5,9,40,27,,
13,,15.5,22,22,52,14.5,0,,
5,,22.5,17.5,14.5,52,14.5,22,,
4,,6,17.5,21,28.5,36,51.5,,
12,,15.5,10.5,20.5,52,4,0,,
7,,13,14,16,3,15.5,0,,
