Id,Density,Length,Width,Heigth,x,y,z,coef_fr,angle
3,,40,11.5,10.5,0,0,0,,9.5
10,,19.5,24.5,26,40,0,0,,
14,,25.5,31,23,14,11.5,0,,
8,,24.5,36,13,39.5,24.5,0,,
15,,20.5,20.5,36.5,20,42.5,0,,
9,,8.5,30.5,22.5,66.5,0,0,,
13,,15.5,22,22,3.5,42.5,0,,
5,,17.5,14.5,22.5,39.5,24.5,13,,
4,,17.5,21,6,40,0,26,,
2,,20,19.5,27,19.5,22.5,23,,
1,,10.5,13.5,15.5,9,42.5,22,,
7,,13,14,16,9,11.5,0,,
12,,20.5,10.5,15.5,19.5,1,10.5,,
6,,16.5,19.5,9.5,20,42.5,36.5,,
11,,15.5,15.5,23,39.5,39,13,,
16,,15.5,15.5,15.5,40,0,32,,
