Id,Density,Length,Width,Heigth,x,y,z,coef_fr,angle
16,,15.5,15.5,15.5,0,0,0,,8
8,,36,13,24.5,15.5,0,0,,
14,,23,31,25.5,15.5,13,0,,
15,,20.5,20.5,36.5,38.5,13,0,,
3,,11.5,10.5,40,51.5,2.5,0,,
4,,17.5,21,6,38.5,33.5,0,,
11,,15.5,15.5,23,38.5,33.5,6,,
9,,30.5,22.5,8.5,8,44,0,,
10,,24.5,19.5,26,14,44,8.5,,
2,,20,19.5,27,18,25.5,25.5,,
13,,22,15.5,22,39,56,0,,
5,,14.5,17.5,22.5,57.5,35,0,,
7,,14,13,16,38.5,33.5,29,,
12,,15.5,20.5,10.5,38.5,13,36.5,,
1,,13.5,15.5,10.5,15.5,15.5,15.5,,
6,,16.5,19.5,9.5,57.5,35,22.5,,
