Id,Density,Length,Width,Heigth,x,y,z,coef_fr,angle
8,,36,24.5,13,0,0,0,,9
3,,11.5,40,10.5,36,0,0,,
9,,30.5,22.5,8.5,5.5,24.5,0,,
14,,31,23,25.5,2,1,13,,
6,,16.5,19.5,9.5,0,47,0,,
10,,26,24.5,19.5,16.5,47,0,,
16,,15.5,15.5,15.5,1,47,9.5,,
15,,20.5,20.5,36.6,15.5,24.5,8.5,,
2,,20,27,19.5,55,0,0,,
13,,22,22,15.5,53,27,0,,
11,,15.5,23,15.5,36,0,10.5,,
12,,15.5,20.5,10.5,0,24.5,8.5,,
5,,14.5,17.5,22.5,70.5,57.5,0,,
1,,13.5,15.5,10.5,58.5,6,19.5,,
4,,6,17.5,21,64.5,57.5,0,,
7,,16,13,14,21.5,52.5,19.5,,
